中国	China
涟川郡	Yeoncheon County
龙仁市	Yongin
南杨州市	Namyangju
平泽市	The Pyeongtaek City
坡州市	Paju City
始兴市	The city of Shixing
水原市	Suwon City
乌山市	Osan
扬平郡	Yang Pingjun
杨州市	Yang Zhou City
仪旺市	Uiwang City
议政府市	Uijeongbu City
庆尚北道	North Gyeongsang Province
安东市	Anton City
奉化郡	Fenghua County
高灵郡	Gao Lingjun
龟尾市	Gumi
金泉市	The city of Kimcheon
军威郡	Gunwi gun
醴泉郡	Yecheon
浦项市	The city of Pohang
漆谷郡	The paint Valley County
淸道郡	Qing Dao County
靑松郡	Qing Songjun
庆山市	Qing Shan City
庆州市	Gyeongju
荣州市	Yeongju City
尙州市	Chang Zhou City
蔚珍郡	Uljin
闻庆市	Mungyeong
星州郡	Seongju
义城郡	Uiseong County
英阳郡	Yeongyang
盈德郡	Yingde County
永川市	The city of Yongchuan
郁陵郡	Ulleung County
庆尚南道	The Gyeongnam
昌宁郡	Changning County
昌原市	The city of Changwon
固城郡	Gu Cheng County
河东郡	East County
金海市	Gimhae City
晋州市	The city of Jinzhou
居昌郡	Geochang
巨济市	Geoje City
梁山市	The city of Liangshan
马山市	Masan City
密阳市	Miryang City
南海郡	County in the South China Sea
山淸郡	Shan Qing County
泗川市	Sacheon City
统营市	Tongyeong
陜川郡	Hapcheon
咸安郡	Xian'an County
咸阳郡	Xianyang County
宜宁郡	Uiryeong gun
鎭海市	Sea city town
全罗北道	North Jeolla
淳昌郡	Sunchang
扶安郡	Puan County
高敞郡	Gao Changjun
金堤市	Gimje
井邑市	Jeongeup City
茂朱郡	Mao Zhujun
南原市	Namwon
全州市	The city of Quanzhou
群山市	Mountains city
任实郡	Imsil
完州郡	Wanju gun
益山市	Iksan City
长水郡	Jangsu
鎭安郡	Chun county
全罗南道	South Jeolla Province
宝城郡	Boseong
高兴郡	Gao Xingjun
谷城郡	Gucheng County
莞岛郡	Wando
光阳市	The city of Guangyang
海南郡	Hainan County
和顺郡	He Shunjun
康津郡	Kang Jinjun
丽水市	The city of Lishui
灵光郡	Yeonggwang
灵岩郡	Yeongam
罗州市	Florida City
木浦市	Mokpo City
求礼郡	Gurye
顺天市	The day city
潭阳郡	Damyang gun
务安郡	Muan
咸平郡	Hampyeong
新安郡	Xin'an County
长城郡	County of the Great Wall
长兴郡	Changxin County
珍岛郡	Jindo County
仁川	Inchon
首尔	Seoul
蔚山	Ulsan
忠清北道	Chungcheong
报恩郡	Counties
曾坪郡	Jeungpyeong
丹阳郡	Danyang County
堤川市	Jecheon City
槐山郡	Goesan
淸原郡	Cheongwon County
淸州市	Qing City
沃川郡	Okcheon
阴城郡	Yin County
永同郡	Yeongdong
鎭川郡	Chun Chuan County
忠州市	Chungju
忠清南道	South Chungcheong
保宁市	Boryeong City
扶余郡	Fuyu County
公州市	Gongju City
洪城郡	Hong Chengjun
鸡龙市	Gyeryong
锦山郡	Geumsan
礼山郡	Yesan
论山市	On the mountain city
青阳郡	Qingyang County
瑞山市	Seosan
舒川郡	Shu Chuanjun
泰安郡	Tai'an County
唐津郡	Tang Jinjun
天安市	Tian City
牙山市	Asan
燕岐郡	Yan Qijun
荷兰	Holland
阿尔梅勒	Al Mailer
阿默斯福特	Amersfoort
阿姆斯特丹	Amsterdam
阿纳姆	Arnhem
阿珀尔多伦	Apeldoorn
阿森	A Sen
埃德	Ed
埃门	Emmen
埃因霍芬	Eindhoven
布雷达	Breda
蒂尔堡	Tilburg
多德雷赫特	Dordrecht
恩斯赫德	Byrness Hurd
格罗宁根	Groningen
哈勒姆	Haarlem
海牙	Hague
霍夫多尔普	Hoff Doelp
莱顿	Leiden
莱利斯塔德	Riley Stader
鹿特丹	Rotterdam
吕伐登	Lv Fadeng
马斯特里赫特	Master Richter
米德尔堡	Middelburg
奈梅亨	Nijmegen
斯海尔托亨博思	J Hare Tor Henry Boss
乌得勒支	Utrecht
兹沃勒	Zwolle
佐特尔梅	Inn Zoetermeer
荷属安地列斯	The Netherlands Antilles
赫德和麦克唐纳群岛	Hird and the Macdonald islands.
洪都拉斯	Honduras
阿特兰蒂达	Atelandida
埃尔帕拉伊索	El Parra Eso
奥科特佩克	Ocotepeque
奥兰乔	Aolanqiao
弗朗西斯科-莫拉桑	Francesco Morazan
格拉西亚斯-阿迪奥斯	Gracias Dios
海湾群岛	The Gulf Islands
科尔特斯	Cortes
科马亚瓜	Comayagua
科潘	Copan
伦皮拉	Lepira
乔卢特卡	Jo Lute C
乔罗马	Choroma
山谷	Mountain valley
圣巴巴拉	Santa Barbara
因蒂布卡	Inti Bhuka
约罗	Yolo
基里巴斯	Kiribati
菲尼克斯群岛	The Feinikesi Islands
吉尔伯特群岛	The Gilbert Islands
莱恩群岛	The Line Islands
吉布提	Djibouti
阿里萨比赫区	Ali sabieh region
奥博克区	Obock District
迪基勒区	Dikhil region
塔朱拉区	Tadjoura region
吉尔吉斯斯坦	Kyrgyzstan
奥什	Osh
巴特肯	Batken
比什凯克市	The city of Bishkek
楚河	Chu He
贾拉拉巴德	Jalalabad
卡拉巴尔塔	Kara Balta
卡拉库尔	Carla Kul
坎特	Kanter
科克扬加克	Kirk Yenga J
迈利赛	Mailisai
纳伦	Naryn
苏卢克图	Suluketu
塔拉斯	Talas
塔什库梅尔	Tash Cu Mel
乌兹根	Uzgen
伊塞克湖	Issyk KUL
几内亚	Guinea
博凯	Bo Kai
恩泽雷科雷	Enzer Recco Ray
法拉纳	Farana
金迪亚	Jin Diya
康康	Kang Kang
科纳克里	Conakry
拉贝	Rabe
玛木	Planet
几内亚比绍	Guinea Bissau
加拿大	Canada
阿伯茨福	Abbe F Phu
埃德蒙顿	Edmonton
奥沙瓦	Oshava
巴里	Barry
布列塔尼角	Thierry Breton
多伦多	Toronto
弗雷德里顿	Fred Lydon
圭尔夫	Guelph
哈利法克斯	Halifax
哈密尔顿	Hamilton
怀特霍斯	Whitehorse
基劳纳	Jilaona
基奇纳	Kitchener
金斯敦	Kingston
卡里加里	Calgary
魁北克	Quebec
里贾纳	Regina
伦敦	London
蒙特利尔	Montreal
萨德伯里	Sudbury
萨斯卡通	Saskatoon
三河城	Sanhe Town
桑德贝	Sang Debei
舍布鲁克	Sh Brooke
圣约翰斯	San Johns
温哥华	Vancouver
温尼伯	Winnipeg
温莎	Windsor
渥太华	Ottawa
夏洛特敦	Charlottetown
耶洛奈夫	Yellowknife
伊魁特	Iqaluit
加纳	Garner
阿散蒂	Ashanti
奥布阿西	O Bbu Aarthi
布朗阿哈福	Brown Agha Phu
大阿克拉	Accra
东部	East
上东部	Upper East
上西部	The Upper West
沃尔特	Walter
加蓬	Gabon
奥果韦-洛洛	Ogooue Lolo
奥果韦-伊温多	Ogooue - iindo
滨海奥果韦	Hamami Oka
恩古涅	Ngoune
河口	Estuary
尼扬加	Yanga
上奥果韦	On the Ogooue
沃勒-恩特姆	Waller NTEM
中奥果韦	In the Ogooue
柬埔寨	Kampuchea
奥多棉吉	Adobe Meanchey
白马市	The White City
柏威夏	Bai Weixia
拜林市	The city of Pailin
班迭棉吉	Banteay Meanchey
磅清扬	Kampong Chhnang
磅士卑	Kampong SPEU
磅同	Kampong Thom
磅湛	Kampong Cham
波罗勉	Boluomian
茶胶	Takeo
柴桢	Chai Zhen
干丹	Kandal
戈公	Koh Kong
贡布	Kampot
金边市	Phnom Penh
桔井	Kratie
腊塔纳基里	Ratanakiri
马德望	Battambang
蒙多基里	Mondo Jiri
菩萨	Bodhisattva
上丁	Stung treng
西哈努克市	The city of Sihanouk
暹粒	Siem Reap
捷克共和国	The Republic of Czech
奥洛穆茨	Olomouc
比尔森	Pilsen
布拉格直辖市	Prague municipality directly under the central government
赫拉德茨-克拉洛韦	Heladeci - Cola Lowe
卡罗维发利	Karlovy Vary
利贝雷克	Leigh Bbe Lake
摩拉维亚-西里西亚	Moravia Silesia
南摩拉维亚	Southern Moravia
帕尔杜比采	Pal Dube Ce
维索基纳	Wysocki Na
乌斯季	UST
中捷克	In Czech
兹林	Zi Lin
津巴布韦	Zimbabwe
北马塔贝莱兰	Matabeleland North
布拉瓦约	Bulawayo
东马绍纳兰	Mashonaland East
哈拉雷	Harare
马尼卡兰	Manyika Lan
马斯温戈	Maas Wingo
南马塔贝莱兰	Matabeleland South
西马绍纳兰	Mashonaland West
中马绍纳兰	Mashonaland Central
喀麦隆	Cameroon
阿达马瓦	Ada Marva
北端	Northern end
西北	Northwest
西南	Southwest
卡塔尔	Qatar
多哈	Doha
古韦里耶	Gu Verri Jerzy
豪尔	Howl
杰里扬拜特奈	Jerry Jan Bait Nai
赖扬	Lai Yang
沃克拉	Walker
乌姆锡拉勒	Umm Sirara
朱迈利耶	Giulia Mailey Jerzy
开曼群岛	The Cayman Islands
科科斯群岛	The Cocos Islands
科摩罗	The Comoros
科特迪瓦	The Ivory Coast
阿涅比	Aneby
巴芬	Baffin
邦达马河谷	Vallee Du Bandama
登盖莱	Denggailai
恩济－科莫埃	Enji - Como
弗罗马格尔	Flohr Marg M
湖泊	Lake
马拉韦	Marave
南邦达马	Lampang Dama
南科莫埃	Nanke Moy
萨桑德拉	Sa Sandra
萨瓦纳	Sabana
山地	A mountain country
沃罗杜古	Volo Modadugu
下萨桑德拉	Sa Sandra
泻湖	Lagoon
赞赞	Zambrotta
中卡瓦利	Cavalli
中科莫埃	In Como
科威特	Kuwait
克罗地亚	Croatia
奥西耶克-巴拉尼亚	Osijek Baranja
别洛瓦尔-比洛戈拉	Bjelovar bilogora
滨海和山区	The coastal and mountainous areas
波热加-斯拉沃尼亚	- slavonska Pozega
布罗德-波萨维纳	Brod Posavina
杜布罗夫斯克-内雷特瓦	Du Broff Neretva
卡尔洛瓦茨	Karl Lovasz
科普里夫尼察-克里热夫齐	Koprivnica - Kelirefuqi
克拉皮纳-扎戈列	Krapina zagorje
利卡-塞尼	Lika senj
梅吉穆列	Meiji Mu Leo
萨格勒布	Zagreb
萨格勒布市	The city of Zagreb
斯普利特-达尔马提亚	Split - Dalmatia
瓦拉日丁	Varaz Martin
维罗维蒂察-波德拉维纳	Virovitica podravina
武科瓦尔-斯里耶姆	Vukovar syrmia
希贝尼克-克宁	Ibenik Knin
锡萨克-莫斯拉维纳	SISAK - Moss Ravenna
伊斯特拉	Istria
扎达尔	Zadall
肯尼亚	Kenya
埃尔格约-马拉奎特	El - Mara Cuito lattice
巴林戈	Bahrain Ge
邦戈马	Bungoma
博美特	Bromate
布希亚	Buhiya
恩布	EMBU
霍马湾	HOMA Bay
基安布	Kiambu
基里菲	Kirivier
基里尼亚加	Jiri Nia Fagafaga
基苏木	Kisumu
基图伊	Kitui
基西	KissI
加里萨	Garcia
卡卡梅加	Kaka Mejia
卡耶亚多	Kaye A do
凯里乔	Kericho
夸勒	Kuale
拉木	Wood
莱基皮亚	Laikipia
马查科斯	Ma Tsakos
马瓜尼	Larger makueni
马萨布布	Massa Bubu
曼德拉	Mandela
梅鲁	Mei Lu
蒙巴萨	Mombasa
米戈利	Migoli
穆兰卡	Mulanka
纳库鲁	Nakuru
纳罗克	Narok
南迪	Nandi
内罗毕	Nairobi
尼蒂	Niti
尼亚米拉	Niami La
年达鲁阿	Niandalua
涅里	Nyeri
桑布卢	Samburu
塔纳河	The Tana River
泰塔塔维塔	Taitata Vita
特兰斯-恩佐亚	Terrance Nzona
图尔卡纳	Turkana
瓦吉尔	Vakil
瓦辛基苏	Vasin Gesu
韦希加	Wei Xijia
西波克特	Si Burkett
夏亚	Xia Ya
伊希约洛	Isi John Lo
库克群岛	The Cook Islands
拉脱维亚	Latvia
阿卢克斯内	A Luke Sneh
爱兹克劳克雷	Ai Zik Locke Ray
奥格雷	Alegre
巴尔维	Barbe
包斯卡	Bauska
采西斯	Cesis
多贝莱	Dobele
古尔贝内	Gul Baire
杰卡布皮尔斯	Jay Cab Pierce
克拉斯拉瓦	Kelasilawa
库尔迪加	Kul Deeja
雷泽克内	Leizekenei
里加	Riga
利耶帕亚	Liepaja
林巴济	Lin Baji
卢扎	Ludza
马多纳	Madonna
普雷利	P
萨尔杜斯	Sal Duus
塔尔西	Talsi
陶格夫皮尔斯	Tao G J Pierce
图库马	Tukums
瓦尔米耶拉	Val Mi Yela
文茨皮尔斯	Vents Pierce
叶尔加瓦	Ye M Gava
莱索托	Lesotho
伯里亚	Berea
布塔布泰	Bbu Tab Tai
古廷	Quthing
加查斯内克	Gajah Snake
莱里贝	Leribe
马费滕	Ma Feiteng
马塞卢	Ma Sailu
莫哈莱斯胡克	Moehau Les Hook
莫霍特隆	Moho Torrone
塔巴采卡	Taba Ceka
老挝	Laos
阿速坡	Attapu
波里坎赛	Bolikansai
博乔	Boqiao
川圹	Xieng Khouang
丰沙里	Phongsaly
甘蒙	Gammon
华潘	Hua Pan
琅勃拉邦	Luang Prabang
琅南塔	Luang Namtha
赛宋本行政特区	Xaisomboun
色贡	Gong color
沙拉湾	Saravan
沙湾拿吉	Savannakhet
沙耶武里	Shaye Wurie
万象	Vientiane
乌多姆赛	Oudomxay
占巴塞	Champasak
黎巴嫩	Lebanon
贝卡	Rebecca
贝鲁特	Beirut
黎巴嫩山	Lebanon
奈拜提耶市	Naibaitiye City
利比里亚	Liberia
巴波卢	Gbarpolu
邦	State
博波卢	Bo Bolu
博米	Bomi
大巴萨	Grand Bassa
大吉德	Grand Gedeh
大角山	Cape Mount
大克鲁	Da Kelu
菲什敦	Fishtown
吉河	Ji River
里弗塞斯	Leaf Seth
洛法	Luo method
马吉比	Magibi
马里兰	Maryland
蒙特塞拉多	Montserrado
宁巴	Nimba
锡诺	Sinoe
利比亚	Libya
立陶宛	Lithuania
阿利图斯	Ali Matus
考纳斯	Kaunas
克莱佩达	Klaipeda
马里扬泊列	Marijampol
帕涅韦日斯	Panevez J
陶拉格	Taurag
特尔希艾	Ter F Ai
维尔纽斯	Vilnius
乌田纳	Utena
希奥利艾	F Ollie Ai
亚克曼	Ackerman
列支敦士登	Liechtenstein
留尼旺岛	Reunion Island
迪基希	Dikshi
格雷文马赫	Greven Maher
卢旺达	Rwanda
比温巴	Bimba
布塔雷	Butare
恩延扎	En Yanzha
基本古	Jibengu
基布耶	Kibuye
基加利-恩加利	Kigali Ngali
基加利市	The city of Kigali
吉孔戈罗	Gio Kongo Lo
吉塞尼	Gisenyi
吉塔拉马	Gita Rama
卡布加	Kabuga
卢瓦马加纳	Luva Magana
鲁汉戈	Lu Hange
鲁亨盖里	Lou Henry Gary
尚古古	Shang Gugu
乌姆塔拉	Umm Tara
罗马尼亚	Romania
阿尔巴尤利亚	Alba Julia
阿拉德	Arad
奥拉迪亚	Oradea
巴克乌	Bacau
巴亚马雷	Baia Mare
比斯特里察	Bistrica
博托沙尼	Botho Shani
布加勒斯特	Bucharest
布拉索夫	Brasov
布勒伊拉	Buller Ira
布泽乌	Buzu
德罗贝塔-塞维林堡	Drobeta turnu Severin
德瓦	Der
蒂米什瓦拉	Timisoara
福克沙尼	Focsa Ni
加拉茨	Galati
久尔久	Giurgiu
康斯坦察	Constanta
克拉约瓦	J Rayo Wa
克勒拉希	Keller Lash
克卢日纳波卡	Cluj Napoca
勒姆尼库沃尔恰	Le M Nicu Wall Ca
雷希察	Lei Xicha
梅尔库里亚丘克	Mel Currie A Chuck
皮特什蒂	Peter J Siti
皮亚特拉尼亚姆茨	Piyatelaniyamuci
普洛耶什蒂	F Lo Yash Siti
萨图·马雷	Satu Mare
圣格奥尔基	San Georgi
斯拉蒂纳	J Latina
斯洛博齐亚	Slobbe Zia
苏恰瓦	Suceava
特尔戈维什泰	Ter Gore Vish Tai
特尔古穆列什	Ter Gu Mu Lesh
特尔古日乌	Targu Jiu
图尔恰	Tulcea
瓦斯卢伊	Vaz Lluy
锡比乌	Sibiu
雅西	Iasi
亚厉山德里亚	Alexander Rya
扎勒乌	Zalau
马达加斯加	Madagascar
安齐拉纳纳	Ann Tsiranana
菲亚纳兰楚阿	Faye Yann Lan Chu A
马哈赞加	Maha Xan Fagafaga
塔那那利佛	Antananarivo
图阿马西拉	Toua Masi La
图利亚拉	Toliara
马尔代夫	Maldives
阿杜	Adu
北阿里	North Ari
北蒂拉杜马蒂	North Diladu Marty
北马洛斯马杜卢	North Maluosimadulu
北米拉杜马杜卢	North Mira Dumas Du Lu
北尼兰杜	North kneeland Du
北苏瓦迪瓦	North suvadiva
法迪福卢	Fadifulu
费利杜	Felidou
福阿穆拉库	Foa Mulla Cu
哈杜马蒂	Radu Marty
科卢马杜卢	Collu Madhu Lou
马累	Male
马累岛	Male Island
穆拉库	Muraku
南阿里	South Ari
南蒂拉杜马蒂	Nandiladu Marty
南马洛斯马杜卢	Nan Malos Madhu Lou
南米拉杜马杜卢	South Mila Duma Du Lu
南尼兰杜	Nanni Landale
南苏瓦迪瓦	South suvadiva
马耳他	Malta
马拉维	Mawlawi
北部区	The northern region
南部区	The Southern District
中央区	The central area
马来西亚	Malaysia
槟榔屿	Penang
北海	The North Sea
槟城	Penang
大山脚	Bukit Mertajam
高渊	Gao Yuan
玻璃市	Glass City
加央	Kaya
丁加奴	Ding Jianu
甘马挽	Gan Mawan
瓜拉丁加奴	Kuala Terengganu
龙运	Dungun
马江	Ma Jiang
实兆	The real sign
乌鲁	Ulu
勿述	Not the
吉打	Kedah
巴东得腊	Padang terap
笨筒	Stupid cylinder
浮罗交怡	Langkawi
哥打士打	Kota SETAR
古邦巴素	Kubang pASU
瓜拉姆达	Kuala muda
华玲	Hua Ling
居林	A series of
万拉峇鲁	Venlafaxine Baru
吉兰丹	Kelantan
巴西富地	Pasir puteh
巴西马	Baxi Ma
丹那美拉	Tanah Merah
道北	The road to the North
登卓	Thein Zaw
哥打巴鲁	Kota Bharu
瓜拉吉赖	Gua Raj Lai
话望生	Gua Musang
马樟	Ma Zhang
日里	Day
吉隆坡	Kuala Lumpur
马六甲	Malacca
马六甲市	The city of Malacca
亚罗牙也	Alor Gajah
野新	Wild new
纳闽	Labuan
彭亨	Pahang
百乐	Tupper
北根	North root
淡马鲁	Temerloh
而连突	Jerantut
关丹	Guan Dan
金马仑高原	Cameron Highlands
劳勿	Labour not
立卑	Lipis
马兰	Indian aster
文冬	Wen Dong
云冰	Yun Bing
霹雳	Bang
安顺	Anshun
丹绒马	Tanjung Ma
和丰	And Feng
紅土坎	In red
华都牙也	Batu Gajah
江沙	Jiang Sha
太平	Peace
怡保	Ipoh
柔佛	Johore
笨珍	Pontian
丰盛港	Mersing
哥打丁宜	Kota Tinggi
居銮	Kluang
峇株巴辖	Batu Pahat
麻坡	Ma Po
昔加末	Segamat
新山	Johor Bahru
森美兰	Negeri Sembilan
波德申	Podchen
淡边	Light edge
芙蓉	Lotus
瓜拉庇劳	Guarapi Law
林茂	Lin Mao
仁保	Ren Bao
日叻务	Jelebu
沙巴	Sabah
吧巴	Bar bar
保佛	Beaufort
比鲁兰	Bilulan
必达士	Pitas
兵南邦	Penampang
担布南	Tambunan
丹南	Tenom
斗湖	Tawau
斗亚兰	Dou Yalan
哥打基纳巴鲁	Kota Kinabalu
哥打马鲁都	Kota Marudu
根地咬	Keningau town
古达	The ancient
古打毛律	Kota Belud
古纳	Laguna
瓜拉班尤	Kuala penyu
京那巴登岸	Jingnabadengan
兰脑	Blue brain
拿笃	Lahad datu
纳巴湾	Nabawan
山打根	Sandakan
西比陶	Eusebius of pottery
仙本那	Xian Benna
沙捞越	Sha Laoyue
古晋	Kuching
加帛	Kapit
林梦	Lin Meng
美里	Beauty
民都鲁	Bintulu
木胶	Wood glue
木中	Mu Zhong
三马拉汉	Kota samarahan
斯里阿曼	Sri aman
泗里街	Sarikei
泗务	Sibu
雪兰莪	Selangor
八打灵	Petaling Jaya
鹅麦	Gombak
瓜拉冷岳	Gualalengyue
瓜拉雪兰莪	Kuala Selangor
沙白安南	Shah Bhai Annan
乌鲁冷岳	Ulu Langat
乌鲁雪兰莪	Hulu Selangor
雪邦	Sepang
马里	Mali
巴马科首都区	Bamako Capital Region
基达尔	Kidall
加奥	Gao
卡伊	Kaj
库利科罗	Cooley C Lo
莫普提	Mopti
塞古	Sekou
通布图	Timbuktu
锡卡索	Sikasso
马其顿	Macedonia
马绍尔群岛	The Marshall Islands
马提尼克	Martinique
马约特岛	Mayotte
曼岛	The Isle of man
毛里求斯	Mauritius
毛里塔尼亚	Mauritania
阿萨巴	Athabasca
卜拉克纳	Bo Rakner
东胡德	Dong Hude
戈尔戈勒	Gore Gale
吉迪马卡	Gidi Maka
努瓦迪布湾	Dakhlet Nouadhibou
努瓦克肖特特区	The District of Nouakchott
塔甘特	Tagant
特拉扎	Trarza
提里斯-宰穆尔	Tiris - kill Moore
西胡德	Xi Hude
因希里	Inchiri
美国	America
阿肯色	Arkansas
费耶特维尔	Fayetteville
史密斯堡	Fort Smith
小石城	The Little Rock
阿拉巴马	Alabama
伯明罕	Bo Minghan
蒙哥马利	Montgomerie
莫比尔	Mobile
阿拉斯加	Alaska
安克雷奇	Anke Leitch
费尔班克斯	Fairbanks
朱诺	Zhu Nuo
爱达荷	Idaho
爱达荷福尔斯	The Idaho Fowles
波卡特洛	R Tero
博伊西	Boise
布莱克富特	Black Foote
科达伦	Kodalen
刘易斯顿	Lewis Don
墨菲	Murphy
楠帕	Nan Pa
岂彻姆	Ketchum
森瓦利	Sonwali
亚美利加瀑布城	American Falls
爱荷华	Iowa
达文波特	Davenport
得梅因	De Meiyin
锡达拉皮兹	Cedar Rapids
北达科他	North Dakota
俾斯麦	Bismarck
大福克斯	Big Fawkes
法戈	Fargo
迈诺特	Minot
北卡罗来纳	North Carolina
艾许维尔	Asheville
杜罕	Du Han
格林斯伯勒	Greensboro
教堂山	Chapel Hill
罗利	Rowley
洛利杜罕都会区	Raleigh Durham metropolitan area
夏洛特	Sherlock
宾夕法尼亚	Pennsylvania
阿伦敦	Allentown
费城	Philadelphia
匹兹堡	Pittsburgh
德克萨斯	Texas
埃尔帕索	El Paso
奥斯汀	Austen
达拉斯	Dallas
哥帕斯基斯蒂	Gopal J Keith Siti
交维斯顿	Weiss meal
拉雷多	Laredo
麦亚伦	Mark Aaron
圣安东尼奥	Sanantonio
休斯敦	Houston
俄亥俄	The Ohio
代顿	Dayton
哥伦布	Columbo
克利夫兰	Cleveland
辛辛那提	Cincinnati
俄克拉荷马	Oklahoma
俄克拉荷马城	Oklahoma City
诺曼	Norman
塔尔萨	The Tulsa
俄勒冈	Oregon
本德	Bend
波特兰	Portland
达尔斯	Dalles
蒂拉穆克	Teela Muck
格兰茨帕斯	Glantz Paz
胡德里弗	Hood Leaf
火山口湖	The volcano Lake
科瓦利斯	Corvallis
库斯贝	Kusberg
梅德福	Medford
塞勒姆	Salem
圣海伦斯	St Helens
斯普林菲尔德	Springfield
尤金	Eugene
佛罗里达	Florida
奥兰多	Orlando
基韦斯特	Key West
杰克逊维尔	Jacksonville
卡纳维尔角	Cape Canaveral
罗德岱堡	Fort Lauderdale
迈阿密	Miami
圣彼德斯堡市	St. Petersburg City
塔拉哈西	Tallahassee
坦帕	Tampa
佛蒙特	Vermont
伯灵顿	Burlington
拉特兰	Rutland
南伯灵顿	South Burlington
哥伦比亚特区	Columbia zone
华盛顿哥伦比亚特区	Washington Columbia zone
华盛顿	Washington
斯波坎	Spokane
塔科马	Tacoma
西雅图	Seattle
怀俄明	Wyoming
埃文斯顿	Evans Don
卡斯珀	Kasper
拉勒米	Larami
罗克斯普林斯	Rock Springs
夏延	Cheyenne
谢里登	Sheridan
加利福尼亚	California
旧金山	San Francisco
洛杉矶	Losangeles
圣迭戈	San Diego
堪萨斯	Kansas
阿比林	Abilene
奥弗兰公园	Overland Park
哈钦森	Hutchinson
堪萨斯城	Kansas City
莱文沃思	Levin worth
劳伦斯	Laurence
曼哈顿	Manhattan
托皮卡	Topeka
威奇托	Victor
康涅狄格	Cone de G
布里奇波特	Bridgeport
达里恩	Darien
格林尼治	Greenwich
哈特福德	Hartford
米德尔顿	Middleton
纽黑文	Niu Heiwen
韦斯特波特	West Porter
沃特伯里	Waterbury
新不列颠	New Britain
科罗拉多	Colorado
阿斯彭	Aspen
奥罗拉	Aurora
博尔德	Boulder
大章克申	Grand Junction
丹佛	Denver
柯林斯堡	Fort Collins
科罗拉多斯普林斯	Colorado Springs
韦尔	Weil
肯塔基	Kentucky
列克星敦	Lexington
路易斯维尔	Luis Weil
欧文斯伯勒	Owens Berner
路易斯安那	Louisiana
巴吞鲁日	Baton Rouge
什里夫波特	Shreveport
新奥尔良	New Orleans
罗德岛	Rhodes Island
波塔基特	Porta Kit
克兰斯顿	Cranston
纽波特	Newport
普罗维登斯	Providence
韦斯特利	Westley
文索基特	Woonsocket
沃威克	Warwick
巴尔的摩	Baltimore
盖瑟斯堡	Gaithersburg
罗克维尔	Rockville
马萨诸塞	Massa Chusetts
波士顿	Boston
伍斯特	Wooster
蒙大拿	Montana
比灵斯	Billings
大瀑布村	Great Falls
米苏拉	Missoula
密苏里	Missouri
杰佛逊市	The city of Jefferson
密西西比	Missy Siby
比洛克西	Biloxi
格尔夫波特	Geer J Porter
格林维尔	Greenville
哈蒂斯堡	Hattiesburg
杰克逊	Jackson
默里迪恩	Murray Dean
维克斯堡	Fort Vickers
密歇根	Michigan
安娜堡	Ann Arbor
巴特尔克里克	Battle Click
贝城	Bay City
大急流城	Grand Rapids
迪尔伯恩	Dearborn
底特律	Detroit
弗林特	Flint
怀恩多特	Wyandotte
卡拉马袓	Kalamazoo
兰辛	Lansing
马斯基根	Muskegon
庞菷亚克	Pang Zhou.
萨吉诺	Saginaw
苏圣玛丽	Sault Sainte Marie
沃伦	Warren
休伦港	Port Huron
缅因	Maine
班戈	Bangor
明尼苏达	Minnesota
罗切斯特	Rochester
明尼阿波利斯	Minneapolis
南达科他	South Dakota
阿伯丁	Aberdeen
拉皮德城	Rapid city
苏福尔斯	Sue Fowles
南卡罗来纳	South Carolina
北查尔斯顿	North Charleston
查尔斯顿	Charleston
内布拉斯加	Nebraska
奥马哈	Omaha
贝尔维尤	Belville Jo
林肯	Lincoln
内华达	Nevada
埃尔科	Elco
北拉斯维加斯	North Las Vegas
弗吉尼亚城	The city of Virginia
亨德森	Henderson
卡森城	Carson City
拉斯维加斯	Las Vegas
里诺	Reno
斯帕克斯	Sparks
纽约	New York
布法罗	Buffalo
纽约市	The city of New York
特拉华	Delaware
多佛	Dover
纽瓦克	Newark
威明顿	Wilmington
田纳西	Tian Naxi
布利斯托	Bliss Tor
查塔努加	Char Thanou Fagafaga
金斯波特	Jens Porter
孟菲斯	Memphis
纳什维尔	Nashville
诺克斯维尔	Knoxville
三城区	The three District
士麦那	Smyrna
斯普林希尔	Spring Hill
约翰逊城	The city of Johnson
威斯康星	Wisconsin
阿普尓顿	Appleton
奥什科什	Oshkosh
格林贝	Green Bay
基诺沙	Kenosha
拉克罗斯	Lark Ross
拉辛	Racine
马尼托沃克	Manito Walker
迈迪逊	Madison
密尔沃基	Milwaukee
欧克莱尓	Oakley you
沃索	Wausau
希博伊根	Cibo Egan
维吉尼亚	Virginia
弗吉尼亚比奇	Virginia Beach
诺福克	Nuo Fuke
切萨皮克	Chesapeake
西佛吉尼亚	West Virginia
亨廷顿	Huntington
帕克斯堡	Parkersburg
夏威夷	Hawaii
凯卢阿	Kailua
檀香山	Honolulu
希洛	Hilo
新罕布什尔	Singh Hampshire
康科德	Concord
曼彻斯特	Manchester
纳舒厄	The Nashua
新墨西哥	New Mexico
阿尔伯克基	Albuquerque
拉斯克鲁塞斯	Las Cruces
罗斯韦尔	Roswell
新泽西	New Jersey
帕特森	Paterson
泽西城	Ze Xicheng
亚利桑那	Arizona
凤凰城	Phoenix
格兰代尔	Glenn Dyer
梅萨	Mesa
史卡兹代尔	Gao Katz Dyer
坦普	Temple
图森	Tucson
优玛	U.MA
伊利诺斯	Illinois
